GAME_DATE,SEASON_ID,MATCHUP,TEAM_NAME,target_win,rolling_PTS,rolling_FG_PCT,rolling_AST,rolling_REB,rolling_target_win
2021-10-29,2021-22,TOR vs. ORL,Toronto Raptors,1,103.8,0.4142,20.4,50.2,0.4
2021-10-29,2021-22,BKN vs. IND,Brooklyn Nets,1,102.0,0.4314,21.4,46.2,0.4
2021-10-29,2021-22,LAL vs. CLE,Los Angeles Lakers,1,116.0,0.47620000000000007,24.8,44.6,0.4
2021-10-29,2021-22,NOP vs. SAC,New Orleans Pelicans,0,100.8,0.42560000000000003,22.4,50.2,0.2
2021-10-30,2021-22,WAS vs. BOS,Washington Wizards,1,112.2,0.45780000000000004,20.8,48.0,0.8
2021-10-30,2021-22,PHI vs. ATL,Philadelphia 76ers,1,110.0,0.47919999999999996,22.4,43.0,0.6
2021-10-30,2021-22,NOP vs. NYK,New Orleans Pelicans,0,103.2,0.4276,20.4,51.2,0.2
2021-10-30,2021-22,CHI vs. UTA,Chicago Bulls,1,106.6,0.457,24.6,40.4,0.8
2021-10-30,2021-22,GSW vs. OKC,Golden State Warriors,1,112.4,0.461,28.4,48.0,0.8
2021-10-30,2021-22,MIL vs. SAS,Milwaukee Bucks,0,114.0,0.45220000000000005,22.2,44.2,0.6
2021-10-30,2021-22,MEM vs. MIA,Memphis Grizzlies,0,114.0,0.44279999999999997,26.2,50.2,0.6
2021-10-30,2021-22,IND vs. TOR,Indiana Pacers,0,108.6,0.4502,21.6,46.0,0.2
2021-10-31,2021-22,CHA vs. POR,Charlotte Hornets,1,116.4,0.4676,25.4,44.6,0.6
2021-10-31,2021-22,MIL vs. UTA,Milwaukee Bucks,0,107.2,0.44160000000000005,21.2,43.8,0.4
2021-10-31,2021-22,LAL vs. HOU,Los Angeles Lakers,1,115.8,0.491,25.4,44.0,0.6
2021-10-31,2021-22,DAL vs. SAC,Dallas Mavericks,1,97.0,0.39380000000000004,19.4,46.2,0.6
2021-10-31,2021-22,BKN vs. DET,Brooklyn Nets,1,102.2,0.4328,21.6,47.4,0.6
2021-11-01,2021-22,MIN vs. ORL,Minnesota Timberwolves,0,104.4,0.41980000000000006,23.6,45.8,0.6
2021-11-01,2021-22,CHA vs. CLE,Charlotte Hornets,0,116.8,0.46559999999999996,26.2,44.2,0.6
2021-11-01,2021-22,MEM vs. DEN,Memphis Grizzlies,1,108.2,0.41400000000000003,25.8,46.0,0.4
2021-11-01,2021-22,BOS vs. CHI,Boston Celtics,0,109.8,0.4346,23.0,45.8,0.4
2021-11-01,2021-22,PHI vs. POR,Philadelphia 76ers,1,111.0,0.48260000000000003,22.4,41.0,0.6
2021-11-01,2021-22,IND vs. SAS,Indiana Pacers,1,100.6,0.42940000000000006,21.0,45.6,0.2
2021-11-01,2021-22,NYK vs. TOR,New York Knicks,0,112.8,0.4638,23.2,44.2,0.8
2021-11-01,2021-22,LAC vs. OKC,LA Clippers,1,102.8,0.4184,24.0,41.0,0.2
2021-11-01,2021-22,ATL vs. WAS,Atlanta Hawks,1,104.8,0.44719999999999993,23.0,50.0,0.4
2021-11-02,2021-22,DET vs. MIL,Detroit Pistons,0,97.8,0.40840000000000004,21.8,40.6,0.2
2021-11-02,2021-22,UTA vs. SAC,Utah Jazz,1,112.0,0.4516,17.6,49.6,0.8
2021-11-02,2021-22,LAL vs. HOU,Los Angeles Lakers,1,113.8,0.4932,24.8,43.4,0.8
2021-11-02,2021-22,PHX vs. NOP,Phoenix Suns,1,105.2,0.46020000000000005,26.2,47.6,0.4
2021-11-02,2021-22,DAL vs. MIA,Dallas Mavericks,0,100.6,0.41600000000000004,21.0,45.2,0.8
2021-11-03,2021-22,PHI vs. CHI,Philadelphia 76ers,1,111.8,0.49160000000000004,25.8,40.8,0.8
2021-11-03,2021-22,BKN vs. ATL,Brooklyn Nets,1,102.8,0.4702,22.4,46.2,0.6
2021-11-03,2021-22,GSW vs. CHA,Golden State Warriors,1,108.8,0.45759999999999995,28.4,49.2,0.8
2021-11-03,2021-22,WAS vs. TOR,Washington Wizards,0,110.8,0.4332,21.2,49.8,0.6
2021-11-03,2021-22,IND vs. NYK,Indiana Pacers,1,106.4,0.4652,24.8,42.4,0.2
2021-11-03,2021-22,SAS vs. DAL,San Antonio Spurs,0,110.2,0.4622,29.0,46.0,0.2
2021-11-03,2021-22,SAC vs. NOP,Sacramento Kings,1,108.4,0.4556,23.4,45.2,0.4
2021-11-03,2021-22,ORL vs. BOS,Orlando Magic,0,105.6,0.45099999999999996,21.8,43.0,0.2
2021-11-03,2021-22,MIN vs. LAC,Minnesota Timberwolves,0,99.0,0.3974,22.6,46.0,0.4
2021-11-03,2021-22,MEM vs. DEN,Memphis Grizzlies,1,105.4,0.4114,24.6,47.4,0.4
2021-11-03,2021-22,CLE vs. POR,Cleveland Cavaliers,1,99.4,0.4248,21.6,47.6,0.6
2021-11-04,2021-22,MIA vs. BOS,Miami Heat,0,116.2,0.47620000000000007,25.6,51.8,1.0
2021-11-04,2021-22,LAL vs. OKC,Los Angeles Lakers,0,113.4,0.49139999999999995,24.2,44.8,0.8
2021-11-04,2021-22,ATL vs. UTA,Atlanta Hawks,0,106.6,0.44699999999999995,23.6,49.2,0.4
2021-11-04,2021-22,DET vs. PHI,Detroit Pistons,0,99.2,0.39580000000000004,23.2,38.6,0.2
2021-11-04,2021-22,PHX vs. HOU,Phoenix Suns,1,108.0,0.4822,28.0,47.0,0.6
2021-11-05,2021-22,MIN vs. LAC,Minnesota Timberwolves,0,102.8,0.40759999999999996,23.6,44.4,0.2
2021-11-05,2021-22,DET vs. BKN,Detroit Pistons,0,98.0,0.3882,22.2,39.6,0.2
2021-11-05,2021-22,POR vs. IND,Portland Trail Blazers,1,109.4,0.449,23.6,48.4,0.4
2021-11-05,2021-22,ORL vs. SAS,Orlando Magic,0,103.4,0.4338,20.6,44.4,0.2
2021-11-05,2021-22,MIL vs. NYK,Milwaukee Bucks,0,106.4,0.4406,22.0,46.6,0.4
2021-11-05,2021-22,WAS vs. MEM,Washington Wizards,1,112.8,0.45099999999999996,21.8,48.0,0.6
2021-11-05,2021-22,TOR vs. CLE,Toronto Raptors,0,109.4,0.4568,19.8,43.8,1.0
2021-11-05,2021-22,SAC vs. CHA,Sacramento Kings,1,109.4,0.4630000000000001,23.6,43.2,0.6
2021-11-05,2021-22,GSW vs. NOP,Golden State Warriors,1,108.6,0.4516,29.6,49.2,0.8
2021-11-06,2021-22,POR vs. LAL,Portland Trail Blazers,1,108.2,0.45380000000000004,24.6,47.2,0.4
2021-11-06,2021-22,PHX vs. ATL,Phoenix Suns,1,109.6,0.47919999999999996,27.6,46.8,0.6
2021-11-06,2021-22,MIA vs. UTA,Miami Heat,1,110.4,0.45120000000000005,23.6,52.4,0.8
2021-11-06,2021-22,DEN vs. HOU,Denver Nuggets,1,102.4,0.46980000000000005,24.4,43.6,0.4
2021-11-06,2021-22,CHI vs. PHI,Chicago Bulls,0,109.4,0.4744,22.8,41.6,0.6
2021-11-06,2021-22,DAL vs. BOS,Dallas Mavericks,1,100.6,0.414,18.8,44.6,0.6
2021-11-07,2021-22,WAS vs. MIL,Washington Wizards,1,112.6,0.46519999999999995,25.0,49.2,0.6
2021-11-07,2021-22,OKC vs. SAS,Oklahoma City Thunder,1,100.8,0.4164,18.8,46.0,0.4
2021-11-07,2021-22,SAC vs. IND,Sacramento Kings,0,115.4,0.485,23.8,46.4,0.6
2021-11-07,2021-22,ORL vs. UTA,Orlando Magic,1,99.0,0.41459999999999997,20.8,46.4,0.2
2021-11-07,2021-22,NYK vs. CLE,New York Knicks,0,108.4,0.45599999999999996,19.4,46.4,0.6
2021-11-07,2021-22,LAC vs. CHA,LA Clippers,1,100.0,0.42779999999999996,21.0,45.4,0.6
2021-11-07,2021-22,TOR vs. BKN,Toronto Raptors,0,106.0,0.44960000000000006,19.4,44.6,0.8
2021-11-07,2021-22,GSW vs. HOU,Golden State Warriors,1,110.0,0.4662,31.6,50.4,0.8
2021-11-08,2021-22,LAL vs. CHA,Los Angeles Lakers,1,104.2,0.44800000000000006,22.8,47.2,0.6
2021-11-08,2021-22,GSW vs. ATL,Golden State Warriors,1,112.8,0.4758,31.8,49.4,0.8
2021-11-08,2021-22,DEN vs. MIA,Denver Nuggets,1,99.4,0.44939999999999997,24.4,45.6,0.6
2021-11-08,2021-22,CHI vs. BKN,Chicago Bulls,1,108.2,0.4586,22.0,45.0,0.4
2021-11-08,2021-22,SAC vs. PHX,Sacramento Kings,0,111.0,0.4588,24.0,44.0,0.4
2021-11-08,2021-22,MEM vs. MIN,Memphis Grizzlies,1,101.6,0.42300000000000004,23.6,42.6,0.6
2021-11-08,2021-22,PHI vs. NYK,Philadelphia 76ers,0,112.2,0.5144,25.2,39.2,1.0
2021-11-08,2021-22,DAL vs. NOP,Dallas Mavericks,1,101.2,0.42700000000000005,19.0,43.6,0.6
2021-11-09,2021-22,UTA vs. ATL,Utah Jazz,1,111.4,0.46240000000000003,21.2,46.0,0.6
2021-11-09,2021-22,LAC vs. POR,LA Clippers,1,108.2,0.45200000000000007,22.0,48.2,0.8
2021-11-09,2021-22,PHI vs. MIL,Philadelphia 76ers,0,107.0,0.48439999999999994,24.4,41.2,0.8
2021-11-10,2021-22,CLE vs. WAS,Cleveland Cavaliers,0,108.0,0.4716,24.8,45.2,0.8
2021-11-10,2021-22,SAS vs. SAC,San Antonio Spurs,1,104.8,0.45640000000000003,27.8,43.8,0.4
2021-11-10,2021-22,PHX vs. POR,Phoenix Suns,1,113.2,0.489,28.4,44.0,1.0
2021-11-10,2021-22,NYK vs. MIL,New York Knicks,0,105.4,0.44020000000000004,21.0,46.6,0.4
2021-11-10,2021-22,GSW vs. MIN,Golden State Warriors,1,118.0,0.48480000000000006,32.2,47.6,1.0
2021-11-10,2021-22,CHI vs. DAL,Chicago Bulls,1,111.2,0.46659999999999996,21.2,48.8,0.6
2021-11-10,2021-22,MEM vs. CHA,Memphis Grizzlies,0,105.8,0.4426,24.2,42.6,0.6
2021-11-10,2021-22,ORL vs. BKN,Orlando Magic,0,98.6,0.4192,20.8,45.0,0.4
2021-11-10,2021-22,LAL vs. MIA,Los Angeles Lakers,1,106.8,0.43520000000000003,24.0,49.0,0.6
2021-11-10,2021-22,HOU vs. DET,Houston Rockets,0,102.8,0.46060000000000006,21.2,45.0,0.0
2021-11-10,2021-22,DEN vs. IND,Denver Nuggets,1,100.8,0.4382,24.4,45.2,0.6
2021-11-10,2021-22,NOP vs. OKC,New Orleans Pelicans,0,98.6,0.41200000000000003,25.0,41.4,0.0
2021-11-10,2021-22,BOS vs. TOR,Boston Celtics,1,103.4,0.4304,20.6,44.8,0.4
2021-11-11,2021-22,UTA vs. IND,Utah Jazz,0,112.0,0.4702,22.8,46.0,0.6
2021-11-11,2021-22,PHI vs. TOR,Philadelphia 76ers,0,106.2,0.4624,21.8,43.6,0.6
2021-11-11,2021-22,LAC vs. MIA,LA Clippers,1,113.2,0.4774,23.6,48.2,1.0
2021-11-12,2021-22,OKC vs. SAC,Oklahoma City Thunder,1,98.0,0.392,19.6,51.8,0.6
2021-11-12,2021-22,CHA vs. NYK,Charlotte Hornets,1,109.8,0.4274,24.4,45.0,0.2
2021-11-12,2021-22,LAL vs. MIN,Los Angeles Lakers,0,111.8,0.454,24.8,50.4,0.6
2021-11-12,2021-22,DEN vs. ATL,Denver Nuggets,1,102.4,0.4422,23.4,43.4,0.6
2021-11-12,2021-22,BOS vs. MIL,Boston Celtics,1,101.8,0.43760000000000004,20.2,42.8,0.6
2021-11-12,2021-22,CLE vs. DET,Cleveland Cavaliers,1,108.4,0.48460000000000003,24.8,43.8,0.8
2021-11-12,2021-22,SAS vs. DAL,San Antonio Spurs,0,111.6,0.4808,29.0,42.6,0.4
2021-11-12,2021-22,NOP vs. BKN,New Orleans Pelicans,0,95.2,0.3908,23.8,42.8,0.0
2021-11-12,2021-22,MEM vs. PHX,Memphis Grizzlies,0,106.8,0.44960000000000006,24.4,47.6,0.6
2021-11-12,2021-22,HOU vs. POR,Houston Rockets,0,106.6,0.46180000000000004,21.0,42.4,0.0
2021-11-12,2021-22,GSW vs. CHI,Golden State Warriors,1,122.0,0.49420000000000003,30.8,47.0,1.0
